＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
149019718,CAL_225_240111_29750,CAL,202401,29750,3725,3725,33464.17,28.4802,-0.0236,14,日経225
149019818,CAL_225_240111_29875,CAL,202401,29875,3600,3600,33464.17,27.6035,-0.0236,14,日経225
149010018,CAL_225_240111_30000,CAL,202401,30000,3475,3470,33464.17,24.7058,-0.0236,14,日経225
149010118,CAL_225_240111_30125,CAL,202401,30125,3350,3346,33464.17,24.0809,-0.0236,14,日経225
149010218,CAL_225_240111_30250,CAL,202401,30250,3230,3230,33464.17,26.4739,-0.0236,14,日経225
149010318,CAL_225_240111_30375,CAL,202401,30375,3105,3105,33464.17,25.5583,-0.0236,14,日経225
149010518,CAL_225_240111_30500,CAL,202401,30500,2980,2980,33464.17,24.6421,-0.0236,14,日経225
149010618,CAL_225_240111_30625,CAL,202401,30625,2855,2855,33464.17,23.7253,-0.0236,14,日経225
149010718,CAL_225_240111_30750,CAL,202401,30750,2730,2730,33464.17,22.8076,-0.0236,14,日経225
149010818,CAL_225_240111_30875,CAL,202401,30875,2605,2600,33464.17,20.6207,-0.0236,14,日経225
149011018,CAL_225_240111_31000,CAL,202401,31000,2485,2485,33464.17,22.0044,-0.0236,14,日経225
149011118,CAL_225_240111_31125,CAL,202401,31125,2360,2360,33464.17,21.0487,-0.0236,14,日経225
149011218,CAL_225_240111_31250,CAL,202401,31250,2235,2230,33464.17,19.1217,-0.0236,14,日経225
149011318,CAL_225_240111_31375,CAL,202401,31375,2115,2115,33464.17,19.9453,-0.0236,14,日経225
149011518,CAL_225_240111_31500,CAL,202401,31500,1990,1990,33464.17,18.9512,-0.0236,14,日経225
149011618,CAL_225_240111_31625,CAL,202401,31625,1870,1870,33464.17,18.6354,-0.0236,14,日経225
149011718,CAL_225_240111_31750,CAL,202401,31750,1750,1750,33464.17,18.2092,-0.0236,14,日経225
149011818,CAL_225_240111_31875,CAL,202401,31875,1630,1630,33464.17,17.6902,-0.0236,14,日経225
149012018,CAL_225_240111_32000,CAL,202401,32000,1510,1510,33464.17,17.0897,-0.0236,14,日経225
149012118,CAL_225_240111_32125,CAL,202401,32125,1395,1395,33464.17,16.8437,-0.0236,14,日経225
149012218,CAL_225_240111_32250,CAL,202401,32250,1280,1280,33464.17,16.4486,-0.0236,14,日経225
149012318,CAL_225_240111_32375,CAL,202401,32375,1165,1161,33464.17,15.6704,-0.0236,14,日経225
149012518,CAL_225_240111_32500,CAL,202401,32500,1055,1051,33464.17,15.3842,-0.0236,14,日経225
149012618,CAL_225_240111_32625,CAL,202401,32625,950,950,33464.17,15.3947,-0.0236,14,日経225
149012718,CAL_225_240111_32750,CAL,202401,32750,845,845,33464.17,15.0005,-0.0236,14,日経225
149012818,CAL_225_240111_32875,CAL,202401,32875,745,745,33464.17,14.6716,-0.0236,14,日経225
